Date,Bill Due Date,Vendor,Reference Number,Memo,Total Bill Amount,# of Itemized allocations,Itemized Allocation Property Name,Itemized Allocation Unit,Itemized Allocation Amount,Itemized Allocation GL Expense Account,Itemized Allocation Description,Upcharge, Amount to Owner ,Approved
1/22/2026,,Mendowza Construction Inc,5,#5 3234 Main CH - Frozen pipes repair and restored water.,250,,3234 North Main Street,,,Repairs,,0.2,300,No
1/21/2026,,Wednesday Pest Control,2661554,"#2661554 3655 Main - Pest control, common area.",95,,3655 South Main Avenue,,,Exterminator,,0,95,No
1/5/2026,,Brevin Automobile Parts Co,6301791,#6301791 3734 Main - 2 Stage High Pre x1 and SiliconNitrideIg x1. ,214.38,,3734 W Main Ave,,,Supplies & Materials,,0,214.38,No
1/20/2026,,Family Homes Repair and Maintenance Corp,1321,#1321 3754 Main 1F - Drywall ceiling repair. ,630,,3754 West Main Avenue,,,Repairs,,0,630,Yes
1/14/2026,,A Bartholomew Source Inc,356,#356 2403 Main 3 - Refrigerator drain ferrule replacement.,160,,4500 W Main Ave,,,Repairs,,0,160,No
1/14/2026,,Bartholomew's Appliance Repair,23314A ,#23314A 4504 Main 2 - Refrigerator service call. ,75,,4500 W Main Ave,,,Repairs,,0,75,No
1/20/2026,,Wednesday Pest Control,2661369,"#2661369 6901 Main - Pest control, common area, plus 18 units.",270,,6901-17 S Main Ave,,,Exterminator,,0,270,No
1/20/2026,,Wednesday Pest Control,2661371,"#2661371 6949 Main - Pest control, common area, plus 7 units.",105,,6949-59 S Main Ave,,,Exterminator,,0,105,No
1/21/2026,,Wednesday Pest Control,2661501,"#2661501 915 Main - Pest control, common area.",85,,915 West Main Street,,,Exterminator,,0,85,No
1/21/2026,,Mendowza Construction Inc,INV-000955,# INV-000955 915 Main 2F - Silicon removal and replacement.,350,,915 West Main Street,,,Repairs,,0.2,420,No
12/18/2025,,Mendoo Drain Special  ,10130,#10130 935 Main GARDEN - Conducted a video inspection of the pipes and provided an estimate. ,285,,935 W. Main,,,Repairs,,0.2,342,No
1/23/2026,,Mendiowza Mechanical LLC,299913,#299913 935 Main 2 - Furnace repaired and heat restored.,240,,935 W. Main,,,Repairs,,0.2,288,No
1/20/2026,,Brevin Automobile Parts Co,6312301,#6312301 942 Main - PACPFS114 WALL 5 x2. ,44.5,,942 N. Main,,,Supplies & Materials,,0,44.5,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
,,,,,,,,,,,,, $ -   ,No
