id,journalCodeId,entryDate,journalMemo,checkNumber,postingMemo,amount,isCashPosting,referenceNumber,payeeName,payeeNameRaw,payeeNames,userTypeId,leaseId,unitNumber,unitId,buildingName,journalCodeDescription
62959886,8,12/3/2025,332 - #332 5036 Main G - Refrigerator service. Recommended replacement.,,#332 5036 Main G - Refrigerator service. Recommended replacement.,-75,0,332,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,5036 North Main Street,EFT
63009525,1,12/8/2025,#334 2129 Main 1F - Washer belt and motor pulley replacement.,,#334 2129 Main 1F - Washer belt and motor pulley replacement.,285,0,334,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2129 North Main Avenue,Bill
63009547,1,12/8/2025,#336 1300 Main 3F - Microwave repair.,,#336 1300 Main 3F - Microwave repair.,210,0,336,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1300 North Main Avenue,Bill
63009549,1,12/8/2025,"#335 2324 Main 3R - Dishwasher service call, recommend replacement.",,"#335 2324 Main 3R - Dishwasher service call, recommend replacement.",75,0,335,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2324 West Main Street,Bill
63009551,1,12/8/2025,#337 1507 Main 2 - Oven repair.,,#337 1507 Main 2 - Oven repair.,375,0,337,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1507 N. Main,Bill
63009553,1,12/8/2025,"#338 3903 Main 1 - Dishwasher service call, needs to be replaced.",,"#338 3903 Main 1 - Dishwasher service call, needs to be replaced.",75,0,338,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3901 West Main Avenue,Bill
63009782,8,12/9/2025,Multiple bills,,#334 2129 Main 1F - Washer belt and motor pulley replacement.,-285,0,334,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2129 North Main Avenue,EFT
63009782,8,12/9/2025,Multiple bills,,"#335 2324 Main 3R - Dishwasher service call, recommend replacement.",-75,0,335,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2324 West Main Street,EFT
63009790,8,12/9/2025,Multiple bills,,#336 1300 Main 3F - Microwave repair.,-210,0,336,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1300 North Main Avenue,EFT
63009790,8,12/9/2025,Multiple bills,,#337 1507 Main 2 - Oven repair.,-375,0,337,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1507 N. Main,EFT
63009790,8,12/9/2025,Multiple bills,,"#338 3903 Main 1 - Dishwasher service call, needs to be replaced.",-75,0,338,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3901 West Main Avenue,EFT
63048044,1,12/15/2025,#341 3649 Main 1R - Washer tub to pump hose repair.,,#341 3649 Main 1R - Washer tub to pump hose repair.,125,0,341,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3649 West Main Avenue,Bill
63048073,1,12/15/2025,#340 815 Main 1F - Refrigerator repair.,,#340 815 Main 1F - Refrigerator repair.,190,0,340,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,815 North Main Avenue,Bill
63048075,1,12/15/2025,#339 2945 Main 2R - Dishwasher latch replaced.,,#339 2945 Main 2R - Dishwasher latch replaced.,215,0,339,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2945 N. Main Ave,Bill
63048077,1,12/15/2025,"#342 814 Main 1NE - Dishwasher service call, recommended replacement.",,"#342 814 Main 1NE - Dishwasher service call, recommended replacement.",75,0,342,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,814 W. Main #1NE,Bill
63048657,8,12/16/2025,"342 - #342 814 Main 1NE - Dishwasher service call, recommended replacement.",,"#342 814 Main 1NE - Dishwasher service call, recommended replacement.",-75,0,342,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,814 W. Main #1NE,Bill
63048665,8,12/16/2025,340 - #340 815 Main 1F - Refrigerator repair.,,#340 815 Main 1F - Refrigerator repair.,-190,0,340,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,815 North Main Avenue,EFT
63048668,8,12/16/2025,339 - #339 2945 Main 2R - Dishwasher latch replaced.,,#339 2945 Main 2R - Dishwasher latch replaced.,-215,0,339,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2945 N. Main Ave,EFT
63048670,8,12/16/2025,341 - #341 3649 Main 1R - Washer tub to pump hose repair.,,#341 3649 Main 1R - Washer tub to pump hose repair.,-125,0,341,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3649 West Main Avenue,EFT
63098067,1,12/22/2025,#344 1023 Main 306 - Washer service call.,,#344 1023 Main 306 - Washer service call.,75,0,344,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1023 N. Main Ave.,Bill
63098071,1,12/22/2025,#347 1300 Main 3R - Range repair.,,#347 1300 Main 3R - Range repair.,135,0,347,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1300 North Main Avenue,Bill
63098079,1,12/22/2025,#343 1845 Main 3 - Refrigerator repair.,,#343 1845 Main 3 - Refrigerator repair.,175,0,343,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1845 West Main Boulevard,Bill
63098081,1,12/22/2025,#345 4435 Main 3S - Oven repair.,,#345 4435 Main 3S - Oven repair.,175,0,345,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4435 North Main Street,Bill
63098095,1,12/22/2025,#346 2429 Main 1F - Refrigerator service call.,,#346 2429 Main 1F - Refrigerator service call.,75,0,346,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2429 West Main Street,Bill
63135235,8,12/29/2025,345 - #345 4435 Main 3S - Oven repair.,,#345 4435 Main 3S - Oven repair.,-175,0,345,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,4435 North Main Street,EFT
63135255,8,12/29/2025,347 - #347 1300 Main 3R - Range repair.,,#347 1300 Main 3R - Range repair.,-135,0,347,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1300 North Main Avenue,Bill
63135259,8,12/29/2025,344 - #344 1023 Main 306 - Washer service call.,,#344 1023 Main 306 - Washer service call.,-75,0,344,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1023 N. Main Ave.,Bill
63135277,8,12/29/2025,Multiple bills,,#343 1845 Main 3 - Refrigerator repair.,-175,0,343,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1845 West Main Boulevard,Bill
63135277,8,12/29/2025,Multiple bills,,#346 2429 Main 1F - Refrigerator service call.,-75,0,346,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2429 West Main Street,Bill
63242864,1,1/5/2026,#349 2939 Main 3F - Replaced oven bake igniter and door seal.,,#349 2939 Main 3F - Replaced oven bake igniter and door seal.,295,0,349,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2939 West Main Avenue,Bill
63242889,1,1/5/2026,"#348 1343 Main BLDG - Recalibrated washer control board and tested. Remounted dryer coin slot and screws, tested.",,"#348 1343 Main BLDG - Recalibrated washer control board and tested. Remounted dryer coin slot and screws, tested.",175,0,348,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1343 North Main Street,Bill
63243867,8,1/6/2026,349 - #349 2939 Main 3F - Replaced oven bake igniter and door seal.,,#349 2939 Main 3F - Replaced oven bake igniter and door seal.,-295,0,349,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2939 West Main Avenue,EFT
63243885,8,1/6/2026,"348 - #348 1343 Main BLDG - Recalibrated washer control board and tested. Remounted dryer coin slot and screws, tested.",,"#348 1343 Main BLDG - Recalibrated washer control board and tested. Remounted dryer coin slot and screws, tested.",-175,0,348,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1343 North Main Street,EFT
63287463,1,1/12/2026,#352 2129 Main 2F - Refrigerator evaporator motor and blade replacement.,,#352 2129 Main 2F - Refrigerator evaporator motor and blade replacement.,215,0,352,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2129 North Main Avenue,EFT
63287490,1,1/12/2026,"#351 1521 Main 1 - Refrigerator service call, recommended replacement.",,"#351 1521 Main 1 - Refrigerator service call, recommended replacement.",75,0,351,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1521 West Main Street,EFT
63287492,1,1/12/2026,#350 942 Main 1F - Washer drain pump removed and cleaned out. Tested.,,#350 942 Main 1F - Washer drain pump removed and cleaned out. Tested.,135,0,350,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,942 N. Main,EFT
63292443,8,1/14/2026,352 - #352 2129 Main 2F - Refrigerator evaporator motor and blade replacement.,,#352 2129 Main 2F - Refrigerator evaporator motor and blade replacement.,-215,0,352,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2129 North Main Avenue,EFT
63292450,8,1/14/2026,350 - #350 942 Main 1F - Washer drain pump removed and cleaned out. Tested.,,#350 942 Main 1F - Washer drain pump removed and cleaned out. Tested.,-135,0,350,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,942 N. Main,EFT
63292475,8,1/14/2026,"351 - #351 1521 Main 1 - Refrigerator service call, recommended replacement.",,"#351 1521 Main 1 - Refrigerator service call, recommended replacement.",-75,0,351,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,1521 West Main Street,Bill
63328575,1,1/20/2026,#355 2322 Main BLDG - Dryer repairs.,,#355 2322 Main BLDG - Dryer repairs.,95,0,355,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2322 West Main Avenue,Bill
63328577,1,1/20/2026,#354 3816 Main PARK 2 - Washer repair.,,#354 3816 Main PARK 2 - Washer repair.,320,0,354,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3816 West Main Park Road,Bill
63329652,8,1/21/2026,355 - #355 2322 Main BLDG - Dryer repairs.,,#355 2322 Main BLDG - Dryer repairs.,-95,0,355,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,2322 West Main Avenue,EFT
63329662,8,1/21/2026,354 - #354 3816 Main PARK 2 - Washer repair.,,#354 3816 Main PARK 2 - Washer repair.,-320,0,354,A Bartholomew Source Inc,A Bartholomew Source Inc,A Bartholomew Source Inc,16,0,,,3816 West Main Park Road,EFT
62614338,1,10/28/2025,#21810A 3736 Main 2 - Refrigerator evaporator fan motor replacement.,,#21810A 3736 Main 2 - Refrigerator evaporator fan motor replacement.,275,0,21810A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,3734 W Main Ave,Bill
62614373,1,10/28/2025,#21796A 6911 Main 2 - Refrigerator service call.,,#21796A 6911 Main 2 - Refrigerator service call.,75,0,21796A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,6901 S Main Ave,Bill
62620505,8,10/29/2025,21810A - #21810A 3736 Main 2 - Refrigerator evaporator fan motor replacement.,,#21810A 3736 Main 2 - Refrigerator evaporator fan motor replacement.,-275,0,21810A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,3734 W Main Ave,EFT
62623580,8,10/29/2025,21796A - #21796A 6911 Main 2 - Refrigerator service call.,,#21796A 6911 Main 2 - Refrigerator service call.,-75,0,21796A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,6901 S Main Ave,EFT
62791891,8,11/18/2025,Multiple bills,,#18357A 2400 Main BSMT - Washer repair.,-240,0,18357A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,2400 S. Main St.,EFT
62791891,8,11/18/2025,Multiple bills,,#18365A 2400 Main 1R - Washer repair.,-245,0,18365A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,2400 S. Main St.,EFT
62791891,8,11/18/2025,Multiple bills,,#23011 2400 Main - Washer repair.,-240,0,23011,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,2400 S. Main St.,EFT
62831227,1,11/24/2025,#21977A 25 Main - Refrigerator service call.,,#21977A 25 Main - Refrigerator service call.,75,0,21977A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,25 Main Avenue,Bill
62831229,1,11/24/2025,#18176 2735 Main GDN - Washer drum and tub found to be malfunctioning. Recommended replacement due to cost of repairs.,,#18176 2735 Main GDN - Washer drum and tub found to be malfunctioning. Recommended replacement due to cost of repairs.,75,0,18176,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,2735 North Main Avenue,Bill
62831231,1,11/24/2025,"#18203A 4752 Main 1E - Dishwasher service call. Parts no longer available, recommended replacement.",,"#18203A 4752 Main 1E - Dishwasher service call. Parts no longer available, recommended replacement.",75,0,18203A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,4750 North Main Avenue,Bill
62831233,1,11/24/2025,#22076A 1509 Main 2N- Refrigerator shelving replacement.,,#22076A 1509 Main 2N- Refrigerator shelving replacement.,190,0,22076A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1507 West Main Avenue,Bill
62831235,1,11/24/2025,#22077A 1509 Main 2N - Dishwasher control panel replacement.,,#22077A 1509 Main 2N - Dishwasher control panel replacement.,305,0,22077A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1507 West Main Avenue,Bill
62831372,8,11/25/2025,Multiple bills,,#22076A 1509 Main 2N- Refrigerator shelving replacement.,-190,0,22076A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1507 West Main Avenue,Bill
62831372,8,11/25/2025,Multiple bills,,#22077A 1509 Main 2N - Dishwasher control panel replacement.,-305,0,22077A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1507 West Main Avenue,Bill
62831372,8,11/25/2025,Multiple bills,,#21977A 25 Main - Refrigerator service call.,-75,0,21977A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,25 Main Avenue,Bill
62831372,8,11/25/2025,Multiple bills,,#18176 2735 Main GDN - Washer drum and tub found to be malfunctioning. Recommended replacement due to cost of repairs.,-75,0,18176,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,2735 North Main Avenue,Bill
62831389,8,11/25/2025,"18203A - #18203A 4752 Main 1E - Dishwasher service call. Parts no longer available, recommended replacement.",,"#18203A 4752 Main 1E - Dishwasher service call. Parts no longer available, recommended replacement.",-75,0,18203A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,4750 North Main Avenue,Bill
62956874,1,12/1/2025,"#18164-1 1846 Main 104 - Replaced dryer gas coils, ignitor, and flame sensor.",,"#18164-1 1846 Main 104 - Replaced dryer gas coils, ignitor, and flame sensor.",275,0,18164-1,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1846 South Main Street,EFT
62956875,1,12/1/2025,#23222 4324 Main 2F - Washer service call.,,#23222 4324 Main 2F - Washer service call.,75,0,23222,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,4324 North Main Avenue,EFT
62956902,1,12/1/2025,#23218 1414 Main 3F - Dryer repair.,,#23218 1414 Main 3F - Dryer repair.,200,0,23218,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1414 North Main Street,EFT
62959865,8,12/3/2025,"18164-1 - #18164-1 1846 Main 104 - Replaced dryer gas coils, ignitor, and flame sensor.",,"#18164-1 1846 Main 104 - Replaced dryer gas coils, ignitor, and flame sensor.",-275,0,18164-1,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1846 South Main Street,EFT
62959871,8,12/3/2025,23218 - #23218 1414 Main 3F - Dryer repair.,,#23218 1414 Main 3F - Dryer repair.,-200,0,23218,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,1414 North Main Street,EFT
62959885,8,12/3/2025,23222 - #23222 4324 Main 2F - Washer service call.,,#23222 4324 Main 2F - Washer service call.,-75,0,23222,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,4324 North Main Avenue,EFT
63009559,1,12/8/2025,#21991A 2211 Main 3 - Oven repair.,,#21991A 2211 Main 3 - Oven repair.,220,0,21991A,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,Bartholomew's Appliance Repair,16,0,,,6901 S Main Ave,Bill
